sample_id,sample,era,location,individual_key,K2,K3,K4,admixedness,max_prop,dominant_cluster,conflict_flag,missing_extraction,missing_library,missing_decode,admixedness_rank,tissue_subsampling_flag,tissue_subsampling_min_p,tissue_subsampling_min_metric,extraction_order_flag,extraction_order_min_p,extraction_order_min_metric,extraction_plate_flag,extraction_plate_min_p,library_plate_flag,library_plate_min_p,dilution_plate_flag,dilution_plate_min_p,index_duplicate_flag,seq_name_duplicate_flag,decode_mismatch_flag,generode_mismatch_flag,lab_notes_flag,lab_notes,evidence_count,evidence_sources,evidence_flag,admixedness_percentile,candidate_flag
OchACat007,OchACat007.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat007,0.0412924,0.80507,0.1536377,0.19493000000000005,0.80507,K3,NA,FALSE,FALSE,FALSE,0.9386281588447654,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,93.9,TRUE
OchACat008,OchACat008.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat008,0.0991645,0.9007369,9.87e-5,0.09926310000000003,0.9007369,K3,NA,FALSE,FALSE,FALSE,0.6606498194945848,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,66.1,FALSE
OchACat009,OchACat009.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat009,0.1071604,0.8895792,0.0032604,0.1104208,0.8895792,K3,NA,FALSE,FALSE,FALSE,0.7111913357400722,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,71.1,FALSE
OchACat010,OchACat010.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat010,0.0939074,0.8962187,0.0098738,0.10378129999999997,0.8962187,K3,NA,FALSE,FALSE,FALSE,0.6895306859205776,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,69,FALSE
OchACat011,OchACat011.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat011,0.0697266,0.9255515,0.0047218,0.07444850000000003,0.9255515,K3,NA,FALSE,FALSE,FALSE,0.5415162454873647,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_plate;library_plate;dilution_plate,TRUE,54.2,FALSE
OchACat012,OchACat012.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat012,0.1172534,0.8585436,0.0242031,0.14145640000000004,0.8585436,K3,NA,FALSE,FALSE,FALSE,0.8592057761732852,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_plate;library_plate;dilution_plate,TRUE,85.9,TRUE
OchACat013,OchACat013.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat013,0.0774298,0.9224708,9.93e-5,0.07752919999999996,0.9224708,K3,NA,FALSE,FALSE,FALSE,0.5667870036101083,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,56.7,FALSE
OchACat014,OchACat014.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat014,0.0702943,0.9296057,9.99e-5,0.07039430000000002,0.9296057,K3,NA,FALSE,FALSE,FALSE,0.5090252707581228,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,50.9,FALSE
OchACat015,OchACat015.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat015,0.1069061,0.8929952,9.86e-5,0.1070048,0.8929952,K3,NA,FALSE,FALSE,FALSE,0.6967509025270758,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,69.7,FALSE
OchACat016,OchACat016.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat016,0.0749252,0.9249749,9.99e-5,0.07502509999999996,0.9249749,K3,NA,FALSE,FALSE,FALSE,0.5487364620938628,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,54.9,FALSE
OchACat017,OchACat017.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat017,0.06488479999999999,0.9350151,1e-4,0.06498490000000001,0.9350151,K3,NA,FALSE,FALSE,FALSE,0.48375451263537905,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,48.4,FALSE
OchACat018,OchACat018.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat018,0.1118363,0.888065,9.86e-5,0.111935,0.888065,K3,NA,FALSE,FALSE,FALSE,0.7256317689530686,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,72.6,FALSE
