sample_id,sample,era,location,cluster,prop
OchACat029,OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9167886
OchACat029,OchACat029.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.94e-5
OchACat030,OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.09710329999999999
OchACat030,OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9027975
OchACat030,OchACat030.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.92e-5
OchACat031,OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0823782
OchACat031,OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9175217
OchACat031,OchACat031.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
OchACat032,OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0648648
OchACat032,OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.888473
OchACat032,OchACat032.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0466622
OchACat033,OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0909253
OchACat033,OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9037184
OchACat033,OchACat033.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0053563
OchACat034,OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.079714
OchACat034,OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9201861
OchACat034,OchACat034.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
OchACat035,OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0777808
OchACat035,OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9221191
OchACat035,OchACat035.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,1e-4
OchACat036,OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.09185829999999999
OchACat036,OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8273469
OchACat036,OchACat036.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0807947
OchACat037,OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0717879
OchACat037,OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9281126
OchACat037,OchACat037.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.95e-5
OchACat038,OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.09136069999999999
OchACat038,OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8988233
OchACat038,OchACat038.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.009816
OchACat039,OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.050962400000000005
OchACat039,OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.8139906
OchACat039,OchACat039.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.135047
