sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchATum035,OchATum035.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1.0000001,1.0000000005838672e-7
OchATum036,OchATum036.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,4,1,0
OchCBur013,OchCBur013.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur014,OchCBur014.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur015,OchCBur015.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur016,OchCBur016.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur017,OchCBur017.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur018,OchCBur018.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur021,OchCBur021.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur022,OchCBur022.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur023,OchCBur023.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur024,OchCBur024.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur025,OchCBur025.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur026,OchCBur026.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999999999999,-1.1102230246251565e-16
OchCBur028,OchCBur028.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur029,OchCBur029.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998,-2.0000000000575113e-7
OchCBur030,OchCBur030.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur031,OchCBur031.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur032,OchCBur032.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur034,OchCBur034.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur035,OchCBur035.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur037,OchCBur037.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur038,OchCBur038.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur040,OchCBur040.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur041,OchCBur041.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur042,OchCBur042.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur043,OchCBur043.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur044,OchCBur044.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur045,OchCBur045.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur047,OchCBur047.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur049,OchCBur049.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur051,OchCBur051.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur052,OchCBur052.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur053,OchCBur053.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
